Episode,NumGreen,NumYellow,NumRed,NumWaste,WasteLeft,DisposedWaste,TotalReward,AvgActorLoss,AvgCriticLoss,AvgEntropy
0,1,1,1,10.1,0,0,0.52,nan,nan,nan
1,1,1,1,9.6,0,0,5.78,nan,nan,nan
2,1,1,1,9.2,0,0,10.80,-0.0158,0.3198,1.5734
3,1,1,1,9.0,0,0,11.84,-0.0158,0.3198,1.5734
4,1,1,1,7.9,0,0,11.14,-0.0158,0.3198,1.5734
5,1,1,1,9.8,0,0,12.14,-0.0157,0.8259,1.5690
6,1,1,1,9.1,0,0,0.09,-0.0157,0.8259,1.5690
7,1,1,1,11.6,0,0,12.02,-0.0157,0.8259,1.5690
8,1,1,1,9.2,0,0,5.93,-0.0158,0.4936,1.5725
9,1,1,1,10.1,0,0,1.63,-0.0158,0.4936,1.5725
10,1,1,1,12.0,0,0,18.45,-0.0158,0.4936,1.5725
11,1,1,1,8.4,0,0,11.54,-0.0158,0.9388,1.5726
12,1,1,1,9.6,0,0,1.00,-0.0158,0.9388,1.5726
13,1,1,1,8.6,0,0,6.58,-0.0158,0.9388,1.5726
14,1,1,1,9.2,0,0,6.40,-0.0157,0.1937,1.5664
15,1,1,1,9.6,0,0,6.89,-0.0157,0.1937,1.5664
16,1,1,1,10.5,0,0,12.62,-0.0157,0.1937,1.5664
17,1,1,1,11.6,0,0,7.95,-0.0157,0.7138,1.5663
18,1,1,1,10.5,0,0,12.17,-0.0157,0.7138,1.5663
19,1,1,1,8.4,0,0,5.65,-0.0157,0.7138,1.5663
20,1,1,1,10.4,0,0,11.75,-0.0157,0.8421,1.5683
21,1,1,1,10.0,0,0,18.55,-0.0157,0.8421,1.5683
22,1,1,1,12.5,0,0,7.43,-0.0157,0.8421,1.5683
23,1,1,1,10.9,0,0,1.52,-0.0158,0.6876,1.5714
24,1,1,1,9.4,0,0,7.04,-0.0158,0.6876,1.5714
25,1,1,1,10.5,0,0,17.26,-0.0158,0.6876,1.5714
26,1,1,1,9.1,0,0,7.51,-0.0157,0.9291,1.5697
27,1,1,1,8.2,0,0,17.42,-0.0157,0.9291,1.5697
28,1,1,1,10.5,0,0,6.61,-0.0157,0.9291,1.5697
29,1,1,1,9.5,0,0,1.53,-0.0157,0.7058,1.5696
30,1,1,1,10.9,0,0,7.50,-0.0157,0.7058,1.5696
31,1,1,1,12.0,0,0,6.75,-0.0157,0.7058,1.5696
32,1,1,1,10.1,0,0,7.45,-0.0157,0.5334,1.5657
33,1,1,1,10.8,0,0,34.12,-0.0157,0.5334,1.5657
34,1,1,1,9.2,0,0,17.56,-0.0157,0.5334,1.5657
35,1,1,1,11.9,0,0,0.94,-0.0157,1.2897,1.5640
36,1,1,1,12.5,0,0,23.57,-0.0157,1.2897,1.5640
37,1,1,1,10.0,0,0,2.33,-0.0157,1.2897,1.5640
38,1,1,1,10.1,0,0,27.90,-0.0157,1.9031,1.5648
39,1,1,1,11.2,0,0,6.54,-0.0157,1.9031,1.5648
40,1,1,1,10.4,0,0,22.86,-0.0157,1.9031,1.5648
41,1,1,1,11.0,0,0,1.15,-0.0156,0.9331,1.5565
42,1,1,1,11.1,0,0,24.06,-0.0156,0.9331,1.5565
43,1,1,1,8.2,0,0,17.67,-0.0156,0.9331,1.5565
44,1,1,1,9.6,0,0,33.99,-0.0156,2.3686,1.5557
45,1,1,1,9.0,0,0,17.54,-0.0156,2.3686,1.5557
46,1,1,1,10.9,0,0,29.33,-0.0156,2.3686,1.5557
